Порядковый номер,Район,Адрес,Количество видеокамер
1.273,Адмиралтейский район,"Измайловский проспект, дом 31,",1
1.274,Адмиралтейский район,"Измайловский проспект, дом 4",3
1.275,Адмиралтейский район,"Измайловский проспект, дом 7",10
1.276,Адмиралтейский район,"Исаакиевская площадь, дом 1",2
1.277,Адмиралтейский район,"Исаакиевская площадь, дом 4",2
1.278,Адмиралтейский район,"Исаакиевская площадь, дом 4,",6
1.279,Адмиралтейский район,"Исаакиевская площадь, дом 6",2
1.280,Адмиралтейский район,"Казанская улица, дом 25",2
1.281,Адмиралтейский район,"Казанская улица, дом 26/27",9
1.282,Адмиралтейский район,"Казанская улица, дом 33/5",2
1.283,Адмиралтейский район,"Казанская улица, дом 34",1
1.284,Адмиралтейский район,"Казанская улица, дом 39",10
1.285,Адмиралтейский район,"Казанская улица, дом 40",3
1.286,Адмиралтейский район,"Казанская улица, дом 42",6
1.287,Адмиралтейский район,"Казанская улица, дом 43",6
1.288,Адмиралтейский район,"Казанская улица, дом 45",2
1.289,Адмиралтейский район,"Казанская улица, дом 46",2
1.290,Адмиралтейский район,"Казанская улица, дом 56",2
1.291,Адмиралтейский район,"Казначейская улица, дом 13",6
1.292,Адмиралтейский район,"Казначейская улица, дом 4/16",3
1.293,Адмиралтейский район,"Казначейская улица, дом 5",4
1.294,Адмиралтейский район,"Канонерская улица, дом 12",3
1.295,Адмиралтейский район,"Канонерская улица, дом 27",4
1.296,Адмиралтейский район,"Канонерская улица, дом 29",5
1.297,Адмиралтейский район,"Канонерская улица, дом 6-8-10",9
1.298,Адмиралтейский район,"Климов переулок, дом 2а",13
1.299,Адмиралтейский район,"Климов переулок, дом 4",2
1.300,Адмиралтейский район,"Конногвардейский бульвар, дом 11",7
1.301,Адмиралтейский район,"Конногвардейский бульвар, дом 9",3
1.302,Адмиралтейский район,"Константина Заслонова улица, дом 40",2
1.303,Адмиралтейский район,"Крюкова канала набережная, дом 11",3
1.304,Адмиралтейский район,"Крюкова канала набережная, дом 19",1
1.305,Адмиралтейский район,"Крюкова канала набережная, дом 21/64",2
1.306,Адмиралтейский район,"Крюкова канала набережная, дом 24",2
1.307,Адмиралтейский район,"Крюкова канала набережная, дом 28",2
1.308,Адмиралтейский район,"Крюкова канала набережная, дом 31",3
1.309,Адмиралтейский район,"Крюкова канала набережная, дом 7/2",1
1.310,Адмиралтейский район,"Крюкова канала набережная, дом 7/2, литера Б",3
1.311,Адмиралтейский район,"Курляндская улица, дом 19-21, литера Б",2
1.312,Адмиралтейский район,"Курляндская улица, дом 25",1
1.313,Адмиралтейский район,"Курляндская улица, дом 25, литера Г",1
1.314,Адмиралтейский район,"Курляндская улица, дом 25, литера Ж",1
1.315,Адмиралтейский район,"Курляндская улица, дом 25, литера З",1
1.316,Адмиралтейский район,"Курляндская улица, дом 28,",1
1.317,Адмиралтейский район,"Курляндская улица, дом 29",12
1.318,Адмиралтейский район,"Курляндская улица, дом 29-31",1
1.319,Адмиралтейский район,"Курляндская улица, дом 36-38",4
